,읍면동,위도,경도
0,청운효자동,37.584009,126.970626
1,사직동,37.575408,126.965944
2,삼청동,37.590758,126.980996
3,부암동,37.594768,126.965574
4,평창동,37.613029,126.974485
5,무악동,37.57711,126.958562
6,교남동,37.568547,126.964454
7,가회동,37.582682,126.984831
8,종로1.2.3.4가동,37.570962,126.977881
9,종로5.6가동,37.573681,127.009292
10,이화동,37.577245,127.005622
11,혜화동,37.587817,127.001745
12,창신1동,37.5734636,127.0143719
13,창신2동,37.575926,127.0116564
14,창신3동,37.5777563,127.0149653
15,숭인1동,37.5764798,127.0176606
16,숭인2동,37.5744396,127.0212115
17,소공동,37.564079,126.980046
18,회현동,37.557288,126.979369
19,명동,37.560029,126.985806
20,필동,37.560148,126.995572
21,장충동,37.561919,127.007818
22,광희동,37.564445,127.005023
23,을지로동,37.56669,126.991319
24,신당동,37.557913,127.013655
25,다산동,37.554398,127.008155
26,약수동,37.552459,127.008973
27,청구동,37.557074,127.014616
28,신당5동,37.56376,126.997459
29,동화동,37.560042,127.019399
30,황학동,37.568542,127.020827
31,중림동,37.558842,126.96632
32,후암동,37.549901,126.980613
33,용산2가동,37.542884,126.985008
34,남영동,37.542865,126.973353
35,청파동,37.545502,126.969899
36,원효로1동,37.5377684,126.9670171
37,원효로2동,37.5338678,126.9520898
38,효창동,37.542828,126.960951
39,용문동,37.537663,126.959677
40,한강로동,37.529054,126.969503
41,이촌1동,37.5157207,126.9696566
42,이촌2동,37.5268725,126.9541116
43,이태원1동,37.5343105,126.9927728
44,이태원2동,37.541982,126.9916254
45,한남동,37.537541,127.005165
46,서빙고동,37.518619,126.991299
47,보광동,37.526873,127.000917
48,왕십리2동,37.563386,127.037047
49,왕십리도선동,37.56598,127.031444
50,마장동,37.567363,127.040731
51,사근동,37.558904,127.047597
52,행당1동,37.5582864,127.0357786
53,행당2동,37.5560505,127.0294718
54,응봉동,37.550935,127.033903
55,금호1가동,37.553509,127.023661
56,금호2·3가동,37.549549,127.019842
57,금호4가동,37.545404,127.024129
58,옥수동,37.540788,127.020624
59,성수1가1동,37.5415916,127.0415863
60,성수1가2동,37.5500246,127.0452696
61,성수2가1동,37.5372107,127.054878
62,성수2가3동,37.5463304,127.0572017
63,송정동,37.553181,127.062066
64,용답동,37.56147,127.056348
65,화양동,37.54325,127.073393
66,군자동,37.553038,127.073657
67,중곡1동,37.5620033,127.0773844
68,중곡2동,37.5587062,127.0844262
69,중곡3동,37.5684742,127.0818451
70,중곡4동,37.563711,127.0935481
71,능동,37.550578,127.081722
72,광장동,37.547835,127.104695
73,자양1동,37.5391385,127.0808963
74,자양2동,37.5289533,127.0830946
75,자양3동,37.5310589,127.0690851
76,자양4동,37.5340349,127.0633708
77,구의1동,37.5421585,127.0860085
78,구의2동,37.5513592,127.0938836
79,구의3동,37.5381461,127.0934198
80,용신동,37.575868,127.037305
81,제기동,37.583778,127.037226
82,전농1동,37.579673,127.0514634
83,전농2동,37.580421,127.061612
84,답십리1동,37.571758,127.0516535
85,답십리2동,37.5712101,127.0602807
86,장안1동,37.5652216,127.0675716
87,장안2동,37.576875,127.0727586
88,청량리동,37.588799,127.04528
89,회기동,37.593733,127.051434
90,휘경1동,37.5919486,127.0623906
91,휘경2동,37.5858032,127.0666014
92,이문1동,37.5987479,127.0592411
93,이문2동,37.6030902,127.0671243
94,면목2동,37.5900147,127.0777541
95,면목4동,37.5743122,127.0846025
96,면목5동,37.5827975,127.0791846
97,면목본동,37.5883736,127.0897053
98,면목7동,37.5788191,127.0892224
99,면목3·8동,37.5833343,127.0985949
100,상봉1동,37.6024453,127.0899376
101,상봉2동,37.5945918,127.0839227
102,중화1동,37.6033806,127.0822864
103,중화2동,37.5992204,127.0749137
104,묵1동,37.614307,127.0805648
105,묵2동,37.6116679,127.0736318
106,망우본동,37.6044425,127.1085607
107,망우3동,37.5931798,127.1020751
108,신내1동,37.605867,127.099356
109,신내2동,37.606188,127.094222
110,성북동,37.597248,126.992899
111,삼선동,37.590836,127.01467
112,동선동,37.593984,127.020426
113,돈암1동,37.5999835,127.024132
114,돈암2동,37.5973134,127.0098578
115,안암동,37.585892,127.021381
116,보문동,37.58038,127.022857
117,정릉1동,37.6046288,127.0170636
118,정릉2동,37.6039162,127.008433
119,정릉3동,37.6096453,126.9976576
120,정릉4동,37.6190929,127.0045388
121,길음1동,37.6093127,127.0196326
122,길음2동,37.6092966,127.026161
123,종암동,37.597176,127.033894
124,월곡1동,37.6081652,127.0348826
125,월곡2동,37.6030301,127.0446323
126,장위1동,37.6170021,127.0455149
127,장위2동,37.6130059,127.0525055
