,동,cluster,후 비율
0,가산동,1,0.148720999405116
1,독산1동,1,0.148720999405116
2,독산2동,2,0.34783818567602354
3,독산3동,1,0.148720999405116
4,독산4동,0,0.23638985414746
5,시흥1동,1,0.148720999405116
6,시흥2동,2,0.34783818567602354
7,시흥3동,0,0.23638985414746
8,시흥4동,2,0.34783818567602354
9,시흥5동,0,0.23638985414746
10,천연동,1,0.15308778053335784
11,홍제1동,2,0.2709855745345823
12,홍제2동,1,0.15308778053335784
13,홍제3동,1,0.15308778053335784
14,홍은1동,2,0.2709855745345823
15,홍은2동,0,0.2181572259127153
16,남가좌1동,3,0.18100857980668283
17,남가좌2동,0,0.2181572259127153
18,북가좌1동,2,0.2709855745345823
19,북가좌2동,0,0.2181572259127153
20,충현동,2,0.2709855745345823
21,북아현동,1,0.15308778053335784
22,신촌동,2,0.2709855745345823
23,연희동,3,0.18100857980668283
24,용강동,2,0.22781811002095925
25,대흥동,1,0.18637418344810877
26,염리동,1,0.18637418344810877
27,신수동,0,0.1957062058437873
28,서교동,0,0.1957062058437873
29,합정동,1,0.18637418344810877
30,망원1동,1,0.18637418344810877
31,망원2동,1,0.18637418344810877
32,연남동,2,0.22781811002095925
33,성산1동,1,0.18637418344810877
34,성산2동,3,0.2458875310433008
35,상암동,2,0.22781811002095925
36,도화동,2,0.22781811002095925
37,서강동,0,0.1957062058437873
38,공덕동,2,0.22781811002095925
39,아현동,0,0.1957062058437873
40,신도림동,2,0.19791986224777589
41,구로1동,1,0.2563412414606324
42,구로2동,0,0.19730403762982607
43,구로3동,1,0.2563412414606324
44,구로4동,0,0.19730403762982607
45,구로5동,2,0.19791986224777589
46,고척1동,0,0.19730403762982607
47,고척2동,0,0.19730403762982607
48,개봉1동,0,0.19730403762982607
49,개봉2동,2,0.19791986224777589
50,개봉3동,0,0.19730403762982607
51,오류1동,0,0.19730403762982607
52,오류2동,0,0.19730403762982607
53,수궁동,0,0.19730403762982607
54,가리봉동,1,0.2563412414606324
55,항동,1,0.2563412414606324
56,풍납1동,2,0.18922639518986503
57,풍납2동,2,0.18922639518986503
58,거여1동,2,0.18922639518986503
59,거여2동,2,0.18922639518986503
60,마천1동,0,0.20557731248779385
61,마천2동,0,0.20557731248779385
62,방이1동,1,0.1473426748589194
63,방이2동,2,0.18922639518986503
64,오륜동,0,0.20557731248779385
65,오금동,3,0.23538668989148673
66,송파1동,2,0.18922639518986503
67,송파2동,1,0.1473426748589194
68,석촌동,3,0.23538668989148673
69,삼전동,3,0.23538668989148673
70,가락본동,2,0.18922639518986503
71,가락1동,3,0.23538668989148673
72,가락2동,3,0.23538668989148673
73,문정1동,1,0.1473426748589194
74,문정2동,3,0.23538668989148673
75,장지동,3,0.23538668989148673
76,잠실본동,2,0.18922639518986503
77,잠실2동,3,0.23538668989148673
78,잠실3동,3,0.23538668989148673
79,잠실4동,0,0.20557731248779385
80,잠실6동,0,0.20557731248779385
81,잠실7동,1,0.1473426748589194
82,위례동,2,0.18922639518986503
83,화양동,1,0.1575547502757208
84,군자동,2,0.20658880564125165
85,중곡1동,2,0.20658880564125165
86,중곡2동,2,0.20658880564125165
87,중곡3동,2,0.20658880564125165
88,중곡4동,0,0.2590584090359573
89,능동,1,0.1575547502757208
90,구의1동,2,0.20658880564125165
91,구의2동,0,0.2590584090359573
92,구의3동,0,0.2590584090359573
93,광장동,3,0.28074903843454335
94,자양1동,2,0.20658880564125165
95,자양2동,1,0.1575547502757208
96,자양3동,0,0.2590584090359573
97,자양4동,2,0.20658880564125165
98,목1동,1,0.2311996177499653
99,목2동,1,0.2311996177499653
